latitude,longitude,magnitude
43.668030000,-79.397360000,10868
43.631070000,-79.546900000,22100
43.754340000,-79.314000000,19811
43.713800000,-79.298040000,10590
43.730410000,-79.304980000,13624
43.736300000,-79.307390000,23282
43.747980000,-79.311800000,19147
43.757880000,-79.315220000,26566
43.763030000,-79.317510000,21525
43.717196000,-79.299491000,12265
43.718900000,-79.304530000,13161
43.729340000,-79.510640000,14139
43.658350000,-79.488170000,12477
43.662000000,-79.489650000,10982
43.671690000,-79.493740000,13768
43.676230000,-79.495650000,14196
43.678960000,-79.496850000,14364
43.681110000,-79.497720000,13498
43.691320000,-79.500880000,25124
